"AZT+3TC+NVP-CH","Patients having (AZT+3TC+NVP) regimen (Children)","0"
"AZT+3TC+NVP-AD","Patients having (AZT+3TC+NVP) regimen (Adults)","0"
"AZT+3TC+NVP-TT","Patients having (AZT+3TC+NVP) regimen (grand total)","0"
"AZT+3TC+EFV-CH","Patients having (AZT+3TC+EFV) regimen (Children)","0"
"AZT+3TC+EFV-AD","Patients having (AZT+3TC+EFV) regimen (Adults)","0"
"AZT+3TC+EFV-TT","Patients having (AZT+3TC+EFV) regimen (grand total)","0"
"AZT+3TC+ABC-CH","Patients having (AZT+3TC+ABC) regimen (Children)","0"
"AZT+3TC+ABC-AD","Patients having (AZT+3TC+ABC) regimen (Adults)","0"
"AZT+3TC+ABC-TT","Patients having (AZT+3TC+ABC) regimen (grand total)","0"
"TDF+3TC+NVP-CH","Patients having (TDF+3TC+NVP) regimen (Children)","0"
"TDF+3TC+NVP-AD","Patients having (TDF+3TC+NVP) regimen (Adults)","0"
"TDF+3TC+NVP-TT","Patients having (TDF+3TC+NVP) regimen (grand total)","0"
"TDF+3TC+EFV-CH","Patients having (TDF+3TC+EFV) regimen (Children)","0"
"TDF+3TC+EFV-AD","Patients having (TDF+3TC+EFV) regimen (Adults)","0"
"TDF+3TC+EFV-TT","Patients having (TDF+3TC+EFV) regimen (grand total)","0"
"TDF+3TC+AZT-CH","Patients having (TDF+3TC+AZT) regimen (Children)","0"
"TDF+3TC+AZT-AD","Patients having (TDF+3TC+AZT) regimen (Adults)","0"
"TDF+3TC+AZT-TT","Patients having (TDF+3TC+AZT) regimen (grand total)","0"
"ABC+3TC+NVP-CH","Patients having (ABC+3TC+NVP) regimen (Children)","0"
"ABC+3TC+NVP-AD","Patients having (ABC+3TC+NVP) regimen (Adults)","0"
"ABC+3TC+NVP-TT","Patients having (ABC+3TC+NVP) regimen (grand total)","0"
"ABC+3TC+EFV-CH","Patients having (ABC+3TC+EFV) regimen (Children)","0"
"ABC+3TC+EFV-AD","Patients having (ABC+3TC+EFV) regimen (Adults)","0"
"ABC+3TC+EFV-TT","Patients having (ABC+3TC+EFV) regimen (grand total)","0"
"D4T+3TC+NVP-CH","Patients having (D4T+3TC+NVP) regimen (Children)","0"
"D4T+3TC+NVP-AD","Patients having (D4T+3TC+NVP) regimen (Adults)","0"
"D4T+3TC+NVP-TT","Patients having (D4T+3TC+NVP) regimen (grand total)","0"
"D4T+3TC+EFV-CH","Patients having (D4T+3TC+EFV) regimen (Children)","0"
"D4T+3TC+EFV-AD","Patients having (D4T+3TC+EFV) regimen (Adults)","0"
"D4T+3TC+EFV-TT","Patients having (D4T+3TC+EFV) regimen (grand total)","0"
"D4T+3TC+ABC-CH","Patients having (D4T+3TC+ABC) regimen (Children)","0"
"D4T+3TC+ABC-AD","Patients having (D4T+3TC+ABC) regimen (Adults)","0"
"D4T+3TC+ABC-TT","Patients having (D4T+3TC+ABC) regimen (grand total)","0"
"ABC+3TC+LPV+RIT-CH","Patients having (ABC+3TC+LPV+RIT) regimen (Children)","0"
"ABC+3TC+LPV+RIT-AD","Patients having (ABC+3TC+LPV+RIT) regimen (Adults)","0"
"ABC+3TC+LPV+RIT-TT","Patients having (ABC+3TC+LPV+RIT) regimen (grand total)","0"
"AZT+3TC+LPV+RIT-CH","Patients having (AZT+3TC+LPV+RIT) regimen (Children)","0"
"AZT+3TC+LPV+RIT-AD","Patients having (AZT+3TC+LPV+RIT) regimen (Adults)","0"
"AZT+3TC+LPV+RIT-TT","Patients having (AZT+3TC+LPV+RIT) regimen (grand total)","0"
"TDF+3TC+LPV+RIT-CH","Patients having (TDF+3TC+LPV+RIT) regimen (Children)","0"
"TDF+3TC+LPV+RIT-AD","Patients having (TDF+3TC+LPV+RIT) regimen (Adults)","0"
"TDF+3TC+LPV+RIT-TT","Patients having (TDF+3TC+LPV+RIT) regimen (grand total)","0"
"TDF+ABC+LPV+RIT-CH","Patients having (TDF+ABC+LPV+RIT) regimen (Children)","0"
"TDF+ABC+LPV+RIT-AD","Patients having (TDF+ABC+LPV+RIT) regimen (Adults)","0"
"TDF+ABC+LPV+RIT-TT","Patients having (TDF+ABC+LPV+RIT) regimen (grand total)","0"
"ABC+DDI+LPV+RIT-CH","Patients having (ABC+DDI+LPV+RIT) regimen (Children)","0"
"ABC+DDI+LPV+RIT-AD","Patients having (ABC+DDI+LPV+RIT) regimen (Adults)","0"
"ABC+DDI+LPV+RIT-TT","Patients having (ABC+DDI+LPV+RIT) regimen (grand total)","0"
"D4T+3TC+LPV+RIT-CH","Patients having (D4T+3TC+LPV+RIT) regimen (Children)","0"
